No.,Ticker,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,Price,Change,from Open,Gap,Volume
1,IRBT,1.06,2.37,-52.17%,-51.32%,-55.66%,-67.08%,-27.60%,14.13,16.95,-28.24%,0.24%,-28.41%,3775883
2,ASTS,0.90,0.43,-34.02%,-30.85%,-25.02%,-52.52%,24.18%,29.13,3.39,-18.51%,0.89%,-19.23%,7532170
3,CHGG,1.33,0.51,-19.04%,-14.40%,-15.09%,-59.63%,21.45%,26.95,8.89,-11.63%,0.00%,-11.63%,98595
4,BIOX,0.55,0.42,-2.02%,5.15%,11.74%,-6.34%,36.27%,50.71,13.30,-0.30%,11.86%,-10.87%,211
5,COUR,1.62,0.63,-8.90%,-9.69%,11.67%,-16.44%,79.27%,29.95,17.77,-9.27%,-1.98%,-7.43%,105266
6,SGU,0.50,0.59,-12.61%,-14.08%,-16.39%,-30.29%,-3.33%,32.03,10.61,-7.34%,0.00%,-7.34%,724
7,SENEA,0.34,1.39,3.40%,6.38%,13.08%,-14.85%,68.46%,61.08,54.75,0.22%,7.05%,-6.38%,779
8,MOR,1.00,0.76,-0.72%,16.48%,31.95%,-17.02%,160.55%,52.08,9.51,-7.13%,-1.25%,-5.96%,63207
9,ZJYL,-,41.79,-20.14%,56.62%,313.07%,-80.34%,1971.28%,50.32,100.25,-4.66%,0.00%,-4.66%,391
10,ERIC,0.78,0.13,-5.15%,5.26%,11.84%,-8.02%,35.11%,45.17,5.85,-4.72%,-0.19%,-4.54%,376343
11,HCM,0.79,0.65,-12.85%,-18.81%,-5.62%,-31.48%,36.52%,29.75,14.58,-4.58%,-0.07%,-4.52%,2697
12,NTCO,2.03,0.24,-4.34%,-0.91%,6.60%,-15.70%,59.56%,44.54,6.47,-4.43%,0.00%,-4.43%,121522
13,SPWR,1.84,0.38,-31.76%,-35.66%,-64.62%,-84.88%,0.18%,28.52,2.81,-4.42%,0.00%,-4.42%,326321
14,OSIS,0.97,2.65,0.60%,3.82%,7.39%,-9.01%,45.24%,55.67,127.30,1.35%,5.82%,-4.22%,3728
15,DUOL,0.76,10.19,-13.64%,-11.99%,15.18%,-22.93%,135.37%,30.19,189.50,-5.16%,-1.07%,-4.13%,38553
16,SVRA,0.77,0.20,-4.26%,4.42%,29.57%,-13.48%,163.80%,49.11,4.30,0.70%,4.88%,-3.98%,14454
17,DEC,-,0.94,-18.04%,-25.77%,-41.70%,-59.46%,-1.07%,30.48,12.08,-3.59%,0.00%,-3.59%,6798
18,GDS,0.39,0.45,-26.87%,-37.99%,-48.99%,-78.42%,1.49%,18.84,5.79,-2.85%,0.70%,-3.52%,61068
19,CELH,1.72,2.89,0.84%,4.66%,12.33%,-17.95%,111.50%,51.16,56.58,-5.04%,-1.62%,-3.47%,428831
20,XPEV,3.04,0.70,-26.90%,-36.77%,-32.61%,-59.65%,26.98%,20.53,9.53,-3.44%,0.00%,-3.44%,399236
